"rank","title","original_title","year","rating_num","rating_count","dbid"
"123","勇敢的心","Braveheart","1995","8.9","611387","1294639"
"124","时空恋旅人","About Time","2013","8.8","807326","10577869"
"125","玩具总动员3","Toy Story 3","2010","8.9","610131","1858711"
"126","傲慢与偏见","Pride & Prejudice","2005","8.7","955892","1418200"
"127","驯龙高手","How to Train Your Dragon","2010","8.8","879180","2353023"
"128","消失的爱人","Gone Girl","2014","8.7","1086909","21318488"
"129","无人知晓","誰も知らない","2004","9.1","378630","1292337"
"130","新世界","신세계","2013","8.9","538270","10437779"
"131","倩女幽魂","倩女幽魂","1987","8.8","845503","1297447"
"132","花样年华","花樣年華","2000","8.8","819825","1291557"
"133","一个叫欧维的男人决定去死","En man som heter Ove","2015","8.9","579754","26628357"
"134","色，戒","色，戒","2007","8.7","978322","1828115"
"135","完美的世界","A Perfect World","1993","9.1","365454","1300992"
"136","怪兽电力公司","Monsters, Inc.","2001","8.8","782249","1291579"
"137","教父3","The Godfather: Part III","1990","9.0","440116","1294240"
"138","小森林 夏秋篇","リトル・フォレスト 夏・秋","2014","9.0","479943","25814705"
"139","九品芝麻官","九品芝麻官","1994","8.8","809846","1297518"
"140","天使爱美丽","Le Fabuleux destin d'Amélie Poulain","2001","8.7","1029196","1292215"
"141","阳光灿烂的日子","阳光灿烂的日子","1994","8.8","704494","1291875"
"142","哪吒闹海","哪吒闹海","1979","9.2","313563","1307315"
"143","侧耳倾听","耳をすませば","1995","8.9","527382","1297052"
"144","被解救的姜戈","Django Unchained","2012","8.8","704168","6307447"
"145","幸福终点站","The Terminal","2004","8.8","651078","1292274"
"146","请以你的名字呼唤我","Call Me by Your Name","2017","8.8","837647","26799731"
"147","釜山行","부산행","2016","8.6","1369165","25986180"
"148","神偷奶爸","Despicable Me","2010","8.7","1060706","3287562"
"149","小森林 冬春篇","リトル・フォレスト 冬・春","2015","9.0","425917","25814707"
"150","喜宴","囍宴","1993","9.0","440693","1303037"
"151","萤火之森","蛍火の杜へ","2011","8.8","621555","5989818"
"152","告白","告白","2010","8.8","753268","4268598"
"153","七武士","七人の侍","1954","9.3","240686","1295399"
"154","机器人之梦","Robot Dreams","2023","9.1","462253","35426925"
"155","头号玩家","Ready Player One","2018","8.6","1536457","4920389"
"156","玛丽和麦克斯","Mary and Max","2009","9.0","476789","3072124"
"157","模仿游戏","The Imitation Game","2014","8.8","728888","10463953"
"158","惊魂记","Psycho","1960","9.0","364063","1293181"
"159","心灵奇旅","Soul","2020","8.7","1161878","24733428"
"160","大鱼","Big Fish","2003","8.8","634205","1291545"
"161","背靠背，脸对脸","背靠背，脸对脸","1994","9.4","185598","1307856"
"162","你的名字。","君の名は。","2016","8.5","1616066","26683290"
"163","血战钢锯岭","Hacksaw Ridge","2016","8.7","870151","26325320"
"164","射雕英雄传之东成西就","射鵰英雄傳之東成西就","1993","8.7","726904","1316510"
"165","末路狂花","Thelma & Louise","1991","9.0","360848","1291992"
"166","高山下的花环","高山下的花环","1984","9.5","167889","1422283"
"167","我是山姆","I Am Sam","2001","9.0","382402","1306861"
"168","阳光姐妹淘","써니","2011","8.8","645716","4917726"
"169","黑客帝国3：矩阵革命","The Matrix Revolutions","2003","8.8","504204","1302467"
"170","恐怖直播","더 테러 라이브","2013","8.7","737723","21360417"
"171","小丑","Joker","2019","8.7","1137222","27119724"
"172","谍影重重3","The Bourne Ultimatum","2007","8.9","478948","1578507"
"173","无间道2","無間道II","2003","8.8","578794","1307106"
"174","三块广告牌","Three Billboards Outside Ebbing, Missouri","2017","8.7","931933","26611804"
"175","电锯惊魂","Saw","2004","8.7","624017","1417598"
"176","达拉斯买家俱乐部","Dallas Buyers Club","2013","8.8","513225","1793929"
"177","疯狂原始人","The Croods","2013","8.7","932569","1907966"
"178","疯狂的石头","疯狂的石头","2006","8.6","939618","1862151"
"179","绿里奇迹","The Green Mile","1999","8.9","395304","1300374"
"180","爱在午夜降临前","Before Midnight","2013","8.8","484367","10808442"
"181","雨中曲","Singin' in the Rain","1952","9.1","274567","1293460"
"182","2001太空漫游","2001: A Space Odyssey","1968","8.9","405976","1292226"
"183","海街日记","海街diary","2015","8.8","532208","25895901"
"184","心迷宫","心迷宫","2014","8.7","628988","25917973"
"185","上帝之城","Cidade de Deus","2002","9.0","337938","1292208"
"186","风之谷","風の谷のナウシカ","1984","8.9","398358","1291585"
"187","记忆碎片","Memento","2000","8.7","719511","1304447"
"188","英雄本色","英雄本色","1986","8.6","615004","1297574"
"189","纵横四海","縱橫四海","1991","8.8","495631","1295409"
"190","恐怖游轮","Triangle","2009","8.5","1052905","3011051"
"191","无敌破坏王","Wreck-It Ralph","2012","8.7","621105","6534248"
"192","芙蓉镇","芙蓉镇","1987","9.3","196961","1297880"
"193","牯岭街少年杀人事件","牯嶺街少年殺人事件","1991","8.9","379019","1292329"
"194","魔女宅急便","魔女の宅急便","1989","8.8","533304","1307811"
"195","卢旺达饭店","Hotel Rwanda","2004","8.9","372767","1291822"
"196","小偷家族","万引き家族","2018","8.7","905250","27622447"
"197","东京教父","東京ゴッドファーザーズ","2003","9.0","298139","1310177"
"198","冰川时代","Ice Age","2002","8.7","694619","1291578"
"199","忠犬八公物语","ハチ公物語","1987","9.2","222139","1959195"
"200","岁月神偷","歲月神偷","2010","8.7","617778","3792799"
"201","遗愿清单","The Bucket List","2007","8.7","550273","1867345"
"202","白日梦想家","The Secret Life of Walter Mitty","2013","8.6","668799","2133323"
"203","大佛普拉斯","大佛普拉斯","2017","8.7","565418","27059130"
"204","花束般的恋爱","花束みたいな恋をした","2021","8.6","850638","34874432"
"205","源代码","Source Code","2011","8.6","940262","3075287"
"206","爱乐之城","La La Land","2016","8.4","1145428","25934014"
"207","荒蛮故事","Relatos salvajes","2014","8.7","526472","24750126"
"208","疯狂的麦克斯4：狂暴之路","Mad Max: Fury Road","2015","8.7","627907","3592854"
"209","可可西里","可可西里","2004","8.9","351884","1308857"
"210","你看起来好像很好吃","おまえうまそうだな","2010","8.9","381719","4848115"
"211","波西米亚狂想曲","Bohemian Rhapsody","2018","8.6","701495","5300054"
"212","贫民窟的百万富翁","Slumdog Millionaire","2008","8.6","814301","2209573"
"213","城市之光","City Lights","1931","9.3","176636","1293908"
"214","大红灯笼高高挂","大红灯笼高高挂","1991","8.8","384947","1293323"
"215","哈利·波特与死亡圣器(上)","Harry Potter and the Deathly Hallows: Part 1","2010","8.6","710023","2051007"
"216","无耻混蛋","Inglourious Basterds","2009","8.7","574198","1438652"
"217","爆裂鼓手","Whiplash","2014","8.6","703147","25773932"
"218","终结者2：审判日","Terminator 2: Judgment Day","1991","8.8","393486","1291844"
"219","青蛇","青蛇","1993","8.6","609233","1303394"
"220","东邪西毒","東邪西毒","1994","8.6","642742","1292328"
"221","黑天鹅","Black Swan","2010","8.6","856360","1978709"
"222","新龙门客栈","新龍門客棧","1992","8.7","518928","1292287"
"223","初恋这件小事","สิ่งเล็กเล็กที่เรียกว่า...รัก","2010","8.5","1061404","4739952"
"224","千钧一发","Gattaca","1997","8.8","359825","1300117"
"225","人工智能","A.I. Artificial Intelligence","2001","8.7","512166","1302827"
"226","崖上的波妞","崖の上のポニョ","2008","8.6","585439","1959877"
"227","虎口脱险","La grande vadrouille","1966","8.9","301782","1296909"
"228","彗星来的那一夜","Coherence","2013","8.6","701785","25807345"
"229","雨人","Rain Man","1988","8.7","448290","1291870"
"230","哈利·波特与凤凰社","Harry Potter and the Order of the Phoenix","2007","8.6","710319","1457217"
"231","海边的曼彻斯特","Manchester by the Sea","2016","8.6","667539","25980443"
"232","罗生门","羅生門","1950","8.8","364362","1291879"
"233","火星救援","The Martian","2015","8.5","855296","25864085"
"234","恋恋笔记本","The Notebook","2004","8.5","760523","1309163"
"235","真爱至上","Love Actually","2003","8.5","815821","1292401"
"236","冰雪奇缘","Frozen","2013","8.5","851750","4202982"
"237","黑客帝国2：重装上阵","The Matrix Reloaded","2003","8.7","463123","1304141"
"238","步履不停","歩いても 歩いても","2008","8.8","335032","2222996"
"239","蜘蛛侠：平行宇宙","Spider-Man: Into the Spider-Verse","2018","8.6","771563","26374197"
"240","千年女优","千年女優","2001","8.8","324138","1307394"
"241","奇迹男孩","Wonder","2017","8.6","607434","26787574"
"242","谍影重重2","The Bourne Supremacy","2004","8.7","407635","1308767"
"243","战争之王","Lord of War","2005","8.7","421819","1419936"
"244","攻壳机动队","攻殻機動隊","1995","9.0","224832","1291936"
"245","血钻","Blood Diamond","2006","8.7","427818","1428175"
"246","小姐","아가씨","2016","8.5","591970","25977027"
"247","血观音","血觀音","2017","8.6","581259","27113517"
"248","隐藏人物","Hidden Figures","2016","8.9","279862","26615208"
"249","魂断蓝桥","Waterloo Bridge","1940","8.8","315029","1293964"
"250","房间","Room","2015","8.7","404314","25724855"
