"spine","title","year","ccid","dbid"
"0184","Black Ice","1994","731","1464196"
"0184","Window Water Baby Moving","1959","731","1478037"
"0184","The Act of Seeing with One's Own Eyes","1971","731","1865030"
"0184","I...Dreaming","1988","731","1917134"
"0184","Cat's Cradle","1959","731","1462666"
"0184","The Dark Tower","1999","731","1865018"
"0184","Kindering","1987","731","1937073"
"0184","Wedlock House: An Intercourse","1959","731","1466207"
"0184","The Stars Are Beautiful","1974","731","1464919"
"0184","Lovesong","2001","731","1869107"
"0184","Crack Glass Eulogy","1992","731","1937020"
"0184","Study in Color and Black and White","1993","731","1465944"
"0184","For Marilyn","1992","731","1865029"
"0184","Commingled Containers","1997","731","1464918"
"0184","Dog Star Man","1964","731","26881181"
"0186","Stolen Kisses","1968","732","1298197"
"0187","Bed and Board","1970","733","1298892"
"0188","Love on the Run","1979","734","1300067"
"0189","The White Sheik","1952","374","1433560"
"0190","Throne of Blood","1957","735","1294827"
"0191","Jubilee","1978","736","1401886"
"0192","Coup de grâce","1976","737","1292763"
"0193","Quai des Orfèvres","1947","738","1308466"
"0194","Il posto","1961","364","1302119"
"0195","I fidanzati","1962","739","1304591"
"0196","Hiroshima mon amour","1959","217","1302050"
"0197","Night and Fog","1955","238","1298270"
"0198","Ali: Fear Eats the Soul","1974","152","1294092"
"0199","Schizopolis","1996","740","1440615"
"0200","The Honeymoon Killers","1969","582","1298247"
"0201","Umberto D.","1952","371","1296097"
"0202","Indiscretion of an American Wife","1953","586","1298764"
"0204","The Marriage of Maria Braun","1978","592","1298655"
"0205","Veronika Voss","1982","593","1302108"
"0206","Lola","1981","595","1294129"
"0207","The Pornographers","1966","602","1299038"
"0209","Through a Glass Darkly","1961","568","1302488"
"0210","Winter Light","1963","569","1296792"
"0211","The Silence","1963","570","1300958"
"0212","Ingmar Bergman Makes a Movie","1962","608","2037991"
"0213","Richard III","1955","366","1298208"
"0214","The Devil and Daniel Webster","1941","622","1293860"
"0215","Knife in the Water","1962","219","1303086"
"0216","The Rules of the Game","1939","295","1401261"
"0217","Tokyo Story","1953","284","1291568"
"0218","Le cercle rouge","1970","628","1401915"
"0219","La strada","1954","185","1292719"
"0220","Naked Lunch","1991","634","1298596"
"0221","Ikiru","1952","353","1293847"
"0222","Diary of a Country Priest","1951","452","1401618"
"0223","Maîtresse","1976","554","1417372"
"0224","Pickup on South Street","1953","446","1305732"
"0225","Tunes of Glory","1960","659","1302854"
"0226","Onibaba","1964","665","1308657"
"0227","Le Corbeau","1943","684","1295328"
"0228","Salvatore Giuliano","1962","687","1401612"
"0229","Scenes from a Marriage","1973","710","1292981"
"0230","3 Women","1977","712","1293599"
"0231","The Testament of Dr. Mabuse","1933","721","1441134"
"0232","Floating Weeds","1959","349","1297841"
"0232","A Story of Floating Weeds","1934","752","1308278"
"0233","Stray Dog","1949","788","1293107"
"0234","The Tin Drum","1979","789","1292207"
"0235","The Leopard","1963","790","1293146"
"0236","Mamma Roma","1962","375","1293305"
"0237","Smiles of a Summer Night","1955","849","1298494"
"0238","A Woman Is a Woman","1961","854","1293849"
"0239","The Lower Depths","1957","857","1297331"
"0239","The Lower Depths","1936","870","1401614"
"0240","Early Summer","1951","875","1401842"
"0242","The Golden Coach","1953","889","1294642"
"0243","French Cancan","1955","891","1293074"
"0244","Elena and Her Men","1956","937","1303563"
"0245","Port of Shadows","1938","947","1416910"
"0246","I vitelloni","1953","966","1300779"
"0247","Slacker","1991","408","1428096"
"0248","Videodrome","1983","240","1295276"
"0249","The Battle of Algiers","1966","248","1419005"
"0251","Shadows","1959","500","1295167"
"0252","Faces","1968","915","1292644"
"0253","A Woman Under the Influence","1974","510","1293525"
"0254","The Killing of a Chinese Bookie","1976","958","1438613"
"0255","Opening Night","1977","957","1292768"
"0256","A Constant Forge","2000","956","1765508"
"0257","Secret Honor","1984","955","1301187"
"0258","Tanner ’88","1988","952","1440612"
"0259","Fat Girl","2001","548","1308525"
"0260","Eyes Without a Face","1960","950","1297735"
"0263","Fanny and Alexander","1982","201","1292784"
"0264","The Making of Fanny and Alexander","1982","627","1449473"
"0265","Short Cuts","1993","376","1297833"
"0266","The King of Kings","1927","949","1444586"
"0267","Kagemusha","1980","948","1303067"
"0268","Youth of the Beast","1963","946","1444583"
"0269","Fighting Elegy","1966","945","1401859"
"0270","Casque d’or","1952","942","1417947"
"0271","Touchez pas au grisbi","1954","941","1304495"
"0272","La commare secca","1962","940","1441973"
"0273","Thieves’ Highway","1949","939","1438410"
"0274","Night and the City","1950","933","1305032"
"0275","Tout va bien","1972","929","1401582"
"0276","The River","1951","679","1416677"
"0277","My Own Private Idaho","1991","249","1292792"
"0278","L’eclisse","1962","928","1293105"
"0279","Young Törless","1966","926","1298242"
"0280","The Sword of Doom","1966","925","1440164"
"0281","Jules and Jim","1962","218","1292338"
"0282","A Generation","1955","921","1417454"
"0282","Kanal","1957","916","1305647"
"0282","Ashes and Diamonds","1958","342","1303174"
"0283","A Generation","1955","921","1417454"
"0284","Kanal","1957","916","1305647"
"0285","Ashes and Diamonds","1958","342","1303174"
"0286","Divorce Italian Style","1961","877","1303186"
"0287","Burden of Dreams","1982","546","1296634"
"0288","F for Fake","1975","908","1440610"
"0289","Hoop Dreams","1994","906","1297797"
"0290","The Phantom of Liberty","1974","905","1297188"
"0291","Heaven Can Wait","1943","878","1293608"
