"rank","name_cn","name","date","bgmid","dbid"
"112","日本动画（人）博览会","日本アニメ（ーター）見本市","2014年11月7日","116370","26206746"
"113","吹响！悠风号","響け! ユーフォニアム","2015年4月7日","115908","26169716"
"114","高分少女 第二季","ハイスコアガールⅡ","2019年10月25日","278569","33218376"
"115","吹响！悠风号 第二季","響け！ユーフォニアム2","2016年10月5日","152091","26655961"
"116","全金属狂潮 校园篇","フルメタル・パニック? ふもっふ","2003年8月26日","338","1463762"
"117","猎人 OVA","HUNTER×HUNTER","2002年1月17日","10356","1460922"
"118","水星领航员","ARIA The ANIMATION","2005年10月5日","531","2043591"
"119","飞跃巅峰2！","トップをねらえ2!","2004年11月26日","768","1870140"
"120","少女革命剧场版 思春期默示录","少女革命ウテナ アドゥレセンス黙示録","1999年8月14日","1891","1417956"
"121","灵能百分百 第二季","モブサイコ100 II","2019年1月7日","240760","27011763"
"122","幸运星","らき☆すた","2007年4月8日","276","2224505"
"123","凉宫春日的忧郁","涼宮ハルヒの憂鬱","2006年4月2日","485","1810517"
"124","摇曳露营△","ゆるキャン△","2018年1月4日","207195","27077082"
"125","海盗战记","ヴィンランド・サガ","2019年7月7日","240386","30174419"
"126","昭和元禄落语心中","昭和元禄落語心中","2016年1月8日","119394","26277363"
"127","Code Geass 反叛的鲁路修R2","コードギアス 反逆のルルーシュR2","2008年4月6日","8","3004532"
"128","Fate/Zero","","2011年10月1日","10639","5416070"
"129","怪诞小镇 第二季","Gravity Falls Season 2","2014年8月1日","110148","21485010"
"130","排球少年","ハイキュー!!","2014年4月6日","84171","25732103"
"131","回忆三部曲","MEMORIES","1995年12月23日","3627","1307897"
"132","龙珠","ドラゴンボール","1986年2月26日","9565","1782006"
"133","老人与海","The Old Man and the Sea","1999年7月3日","1984","1302930"
"134","春宵苦短，少女前进吧！","夜は短し歩けよ乙女","2017年4月7日","202240","26935251"
"135","JOJO的奇妙冒险 星尘斗士","ジョジョの奇妙な冒険 スターダストクルセイダース","2014年4月4日","85631","23774708"
"136","天元突破红莲螺岩 螺岩篇","劇場版 天元突破グレンラガン 螺巌篇","2009年4月25日","3996","3727748"
"137","欢迎加入NHK！","N・H・Kにようこそ!","2006年7月9日","995","1908561"
"138","终物语（下）","終物語(下)","2017年8月12日","175596","26761233"
"139","山水情","山水情","1988-03-21","45089","1316626"
"140","爆漫王。2","バクマン。2","2011年10月1日","22588","5407066"
"141","福星小子2 绮丽梦中人","うる星やつら2 ビューティフル・ドリーマー","1984年2月11日","40003","1467780"
"142","宇宙兄弟","宇宙兄弟","2012年4月1日","28533","10467755"
"143","人狼","人狼 JIN-ROH","1999年11月17日","844","1306255"
"144","龙与虎","とらドラ!","2008年10月1日","909","3184594"
"145","交响诗篇","交響詩篇エウレカセブン","2005年4月17日","1266","1839460"
"146","攻壳机动队 笑面男","攻殻機動隊 STAND ALONE COMPLEX the Laughing Man","2005年10月23日","48745","2078804"
"147","寒蝉鸣泣之时 解","ひぐらしのなく頃に解","2007年7月5日","288","2154314"
"148","银魂°","銀魂°","2015年4月8日","120791","26287119"
"149","秒速5厘米","秒速5センチメートル","2007年3月3日","927","2043546"
"150","JOJO的奇妙冒险 黄金之风","ジョジョの奇妙な冒険 黄金の風","2018年10月5日","235128","27666505"
"151","心灵游戏","Mind Game","2004年8月7日","3324","1477916"
"152","歌牌情缘","ちはやふる","2011年10月4日","18294","6439459"
"153","悠久之翼2","ef - a tale of melodies.","2008年10月6日","1029","3199156"
"154","黑客帝国动画版","The Animatrix","2003年6月3日","496","1292347"
